Company Name,Growth Score,Mindshare Score,Momentum Score,Mattermark URL,Website,Description,Is Raising On AngelList,AngelList Raising Amount,AngelList Pre-Money Valuation,AngelList Raised Amount,Industry,Business Model,Keywords,Investors,Employee Count,Employees Month Ago,Employees Added This Month,Employees MoM,Employees 6 Months Ago,Employees Added In 6 Months,Employees 6 Months Growth,Est. Monthly Uniques,Monthly Uniques Week Ago,Monthly Uniques WoW,Monthly Uniques Month Ago,Monthly Uniques MoM,Est. Monthly Mobile Downloads,Mobile Downloads Week Ago,Mobile Downloads WoW,Mobile Downloads Month Ago,Mobile Downloads MoM,Twitter Followers,Twitter Followers Week Ago,Twitter Followers WoW,Twitter Followers Month Ago,Twitter Followers MoM,Twitter Mentions Last Week,Twitter Mentions 2 Weeks Ago,Twitter Mentions WoW,Twitter Mentions Last Month,Twitter Mentions 2 Months Ago,Twitter Mentions MoM,Facebook Likes,Facebook Likes Week Ago,Facebook Likes Wow,Facebook Likes Month Ago,Facebook Likes MoM,Facebook Talking Last Week,Facebook Talking 2 Weeks Ago,Facebook Talking WoW,Facebook Talking Month Ago,Facebook Talking 2 Months Ago,Facebook Talking MoM,LinkedIn Follows,LinkedIn Follows Week Ago,LinkedIn Follows WoW,LinkedIn Follows Month Ago,LinkedIn Follows MoM,Est. Founding Date,Stage,Total Funding,Last Funding Date,Last Funding Amount,Location,City,Region,State,Country,Continent,Has Mobile App,Has Google Play App,Has iTunes App,Months since last funding,Employees added since last funding,New person months since last funding,New funding employee growth,Date Added
ionseed.eu,77,77,114,https://mattermark.com/app/data/11214567/,http://ionseed.eu,"",No,,,,,,,,,,,,,,,,,,,,,,,,,21,19,11,,,,,,,,,117,113,4,48,144,26,26,0,25,25,0,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2015-10-28
Butano24,76,76,18,https://mattermark.com/app/data/11085057/,http://butano24.com,"Butano24 you can now place your order quickly and conveniently choose the delivery service and follow up the deal.",No,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,10,0,,,,,,,9,9,0,8,13,1,,,1,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2015-08-21
Veloyo,76,76,48,https://mattermark.com/app/data/274870/,http://veloyo.com,"Veloyo - The digital platform around the urban Fahrradfahren.Trends, services and information for bicycle use in the city!",No,,,,consumer services,,,,,,,,,,,86,90,-4,54,59,,,,,,369,369,0,361,2,0,0,,2,7,-71,1174,1164,1,1088,8,25,,,74,74,0,,,,,,,No Known Funding,,,,hamburg,hamburg,,,,,No,No,No,,,,,2014-05-10
Quizlyse,75,75,19,https://mattermark.com/app/data/10963395/,http://quizlyse.com,"Helping companies to ENGAGE, RETAIN and MONETIZE their users!",No,,,,gaming|marketing|media|publishing,B2B|B2C,big data|brand marketing,,,,,,,,,128,140,-9,201,-36,,,,,,363,361,1,354,3,,,,,,,427,426,0,418,2,19,10,90,1,,,,,,,,,Pre Series A,200000,2016-01-20,200000,barcelona,barcelona,,,esp,EU,No,No,No,1,,,0,2015-04-27
Myia,75,75,0,https://mattermark.com/app/data/10998132/,http://getmyia.com,"Myia is a location-based mobile app that connects you with people and places nearby.",No,,,,mobile,,,,,,,,,,,4,4,0,4,0,,,,,,30,28,7,27,11,,,,,,,157,155,1,93,69,1,1,0,1,1,0,,,,,,,No Known Funding,,,,prague,prague,,,cze,EU,No,No,No,,,,,2015-06-07
Easy Stay Tech,73,73,45,https://mattermark.com/app/data/11093965/,http://easystaytech.com,"EasyStay Technologies",No,,,,hospitality|mobile|travel,B2B|B2C,hotels,,,,,,,,,72,50,44,,,,,,,,286,283,1,255,12,,,,,,,493,486,1,456,8,71,,,208,113,84,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2015-08-31
kidsy.eu,73,73,86,https://mattermark.com/app/data/11175516/,http://kidsy.eu,"",No,,,,,,,,,,,,,,,,,,,,,,,,,196,190,3,165,19,,,,,,,366,355,3,268,37,61,61,0,8,8,0,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2015-10-27
waylay.io,72,72,27,https://mattermark.com/app/data/237631/waylay-io,http://waylay.io,"smart rules engine platform for the Internet-of-Things",No,,,,internet of things,,artificial intelligence|internet of things,,3,3,0,0,4,-1,-25,478,370,29,78,513,,,,,,762,743,3,695,10,21,3,600,31,21,48,47,45,4,43,9,4,4,0,3,3,0,65,56,16,59,10,,No Known Funding,,,,ghent,ghent,,,bel,EU,No,No,No,,,,,2014-02-03
ergonweb.de,72,72,0,https://mattermark.com/app/data/11309581/,http://ergonweb.de,"",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
gethupp.com,71,71,143,https://mattermark.com/app/data/11309460/,http://gethupp.com,"",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
KlassData,69,69,11,https://mattermark.com/app/data/11085059/,http://klassdata.com,"KlassData develops Learning Analytics Technologies for Education. SmartKlass(tm) is a multiplatform, open source learning analytics plugin for any LMS",No,,,,,,,,,,,,,,,135,131,3,,,,,,,,155,154,1,149,4,,,,,,,80,80,0,78,3,1,,,1,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2015-08-21
Hashtago,67,65,50,https://mattermark.com/app/data/185911/hashtago,http://hashtago.com,"Hashtago is a SaaS-based solution that allows brands to start cross-platform hashtag-marketing campaigns.",No,,,,analytics|marketing|media,B2B|SaaS,big data|brand marketing|digital marketing|social media|social media marketing,Imperious Group,5,5,0,0,6,-1,-17,431,573,-25,541,-20,,,,,,19,18,6,17,12,0,1,-100,1,0,,387,386,0,380,2,4,4,0,1,,,28,27,4,25,12,2013,Pre Series A,200000,2013-09-05,200000,,,,,,,No,No,No,30,1,23,8695.65,2013-09-06
